node1	node2
TMEM158	MMP1
NCS1	TMEM158
ITPRIP	JUNB
EIF5AL1	TTC28
NRARP	NDOR1
CENPN	ADRA2A
TIGD1	HNRNPH3
TSPO	FNDC10
SUDS3	JUNB
JPH4	ADRA2A
SMIM8	TIGD1
STRBP	JUNB
XRN1	FNDC10
TMEM200A	TMEM158
SRP54	JUNB
ADRA2A	GRP
ADRA2A	CACNG4
CCDC30	TMEM158
TIGD1	PRH1
TMEM158	GRP
EIF5AL1	PARL
TIGD1	ZCCHC7
JUNB	NCKAP5L
LUM	ADRA2A
TIGD1	ZFAND3
LUM	TMEM158
NRARP	NCS1
JUNB	PDS5A
NRARP	GRP
TMEM144	TMEM158
SUGP2	TMEM158
C1QTNF6	ADRA2A
FNDC10	SH2B2
LTBP1	TMEM158
NRARP	TTC9C
ZFAND1	JUNB
ZNF227	FNDC10
TIGD1	DNAJC16
MFAP2	TMEM158
RHBDL3	TMEM158
TRIP13	ADRA2A
TMEM26	ADRA2A
ADRA2A	TBC1D9
KAT7	JUNB
YIF1B	FNDC10
SFT2D2	ADRA2A
NRARP	INPP5E
NRARP	SGO1
ADAT3	JUNB
TIGD1	DAG1
RNF168	JUNB
PRKG1	ADRA2A
TIGD1	SUPT7L
ADRA2A	SGO1
TMEM158	TBC1D9
ADRA2A	PXN
ADRA2A	PHYHIP
TMEM158	DEPDC7
LRWD1	FNDC10
TIGD1	FBXL14
NRARP	KCNN2
JUNB	SLC27A1
TIGD1	SGO1
TTC27	ADRA2A
ATP9A	JUNB
RAPGEF2	FNDC10
C11orf96	JUNB
EIF5AL1	YIF1B
TIGD1	CCDC150
DIAPH3	ADRA2A
CECR2	JUNB
ADRA2A	IL1RL2
ACAP1	JUNB
TMEM158	CDCA7
JUNB	GRHL2
TMEM158	GPR160
WDR33	TIGD1
NRARP	CREB3L1
EXTL1	TMEM158
EIF5AL1	UTP14C
EFNA4	TMEM158
EIF5AL1	WDFY3
DIAPH3	JUNB
NR4A1	JUNB
ADRA2A	NAE1
ZNF551	FNDC10
MYRIP	TMEM158
MYRIP	ADRA2A
ZNF334	ADRA2A
LGALS1	TMEM158
FPGS	JUNB
KPNA1	JUNB
GEMIN6	FNDC10
POLD2	FNDC10
ECSIT	JUNB
EIF5AL1	GEMIN6
JUNB	BOK
CD55	TMEM158
MMP12	TMEM158
TIGD1	FAHD2A
SPNS2	JUNB
YDJC	FNDC10
GALNT8	ADRA2A
ADRA2A	GABRB2
TMEM158	SGK3
PRCP	ADRA2A
EIF2S2	ADRA2A
GABRB2	TMEM158
CCNJL	TMEM158
RALGPS1	TMEM158
ADRA2A	CREB3L1
MRPL42	JUNB
TMEM200A	TMEM158
NRARP	EHD2
ADRA2A	EHD2
TMEM158	SLC43A3
ZFAT	TIGD1
TMEM158	RAB7B
ALG9	JUNB
NRARP	IFRD2
GADD45A	JUNB
ADRA2A	SLIT3
ADRA2A	ESR1
TMEM222	FNDC10
ZMYND15	JUNB
GSN	JUNB
USF3	JUNB
ADRA2A	WBP1L
LGR5	TMEM158
CD55	TMEM158
YJEFN3	TIGD1
TIMM13	FNDC10
PERM1	FNDC10
ABCA8	ADRA2A
CEP76	JUNB
TIGD1	WBP1L
ARMC1	JUNB
ERMAP	TIGD1
FAM111B	JUNB
ZNF671	ADRA2A
TIGD1	ARL16
TIGD1	PPP2CB
ESR1	TMEM158
CEP95	TIGD1
SHARPIN	FNDC10
DRAXIN	TMEM158
NRARP	UAP1L1
TIGD1	RNF141
TIGD1	FUCA1
JADE2	TMEM158
MRPL23	EIF5AL1
GAPT	ADRA2A
ZNF823	TMEM158
GAMT	FNDC10
JADE2	ADRA2A
RGCC	TMEM158
EIF5AL1	DPY30
TMEM158	EGFL6
TIGD1	AMY2B
TIGD1	CHMP2B
NEB	FNDC10
EPB41L5	TMEM158
CLIP2	TMEM158
KIF3A	TMEM158
AGBL2	TMEM158
JADE2	TIGD1
RRAS	JUNB
ADRA2A	TGFB3
FLRT2	ADRA2A
NCCRP1	TMEM158
GPR135	ADRA2A
CD58	TMEM158
NCAM1	TMEM158
RPUSD1	FNDC10
ADRA2A	CDCA7
UTRN	FNDC10
HLX	JUNB
NBEA	TMEM158
NRARP	BAG3
TIGD1	GAR1
TMEM130	ADRA2A
SRF	TMEM158
NRARP	UBL3
TMEM158	SHOX2
LIMS1	TMEM158
RGS1	JUNB
TCEA2	FNDC10
EIF5AL1	USP37
ADRA2A	HMMR
ATAD3A	FNDC10
SBNO1	JUNB
GP2	TMEM158
TIGD1	VAMP3
TMEM158	WDSUB1
TIGD1	ABHD6
CPTP	FNDC10
JUNB	PTGES3
AGAP6	TIGD1
ADRA2A	ARHGAP11A
ADRA2A	MTFR2
TIGD1	C4B
GREB1	TMEM158
ADRA2A	PRMT2
TMEM158	ANKRD31
EVC2	TMEM158
HPX	TMEM158
TMEM158	C9orf152
TMEM158	KCNK1
NRARP	ARHGAP11A
C4B	ADRA2A
ADRA2A	FMOD
C2CD4B	JUNB
KCNJ12	JUNB
INTS6L	TIGD1
NRARP	RGS1
TIGD1	ZCCHC7
ADRA2A	CEBPZOS
BCL2	TMEM158
CCDC80	ADRA2A
ANKZF1	TIGD1
ZC3H12A	JUNB
ADRA2A	STN1
MED15	JUNB
TMEM158	DYNC2I1
BCAS1	TMEM158
ADAT3	JUNB
SIRT6	FNDC10
TPGS1	JUNB
MRRF	NRARP
BCAS1	ADRA2A
ADRA2A	NCAPG
ELAPOR1	TMEM158
TRAPPC3	FNDC10
JAK2	FNDC10
SH3TC1	JUNB
TRNAU1AP	FNDC10
CAVIN4	TMEM158
CD276	TMEM158
EIF5AL1	GEMIN6
TMEM158	SLC16A6
TRIM33	JUNB
C1QBP	EIF5AL1
ADRA2A	CENPBD1
DTWD2	TMEM158
SOCS3	JUNB
ZNF136	TMEM158
C1orf198	TMEM158
CLCF1	JUNB
GPIHBP1	JUNB
MCC	ADRA2A
OAZ1	FNDC10
TIGD1	CENPBD1
MRC2	TMEM158
EIF5AL1	NHSL2
DRAXIN	TMEM158
RUBCNL	TMEM158
NRARP	NIFK
JUNB	SOX17
JUNB	PNPLA2
SIK1B	JUNB
RGS11	FNDC10
TIGD1	PABPN1
IMMT	ADRA2A
EIF5AL1	CYC1
TMEM158	FAM13B
ACVRL1	JUNB
A4GALT	JUNB
TIGD1	KHDC4
SSU72	FNDC10
ADRA2A	PSAT1
ADRA2A	MMP2
ACY1	FNDC10
SPC24	TIGD1
ADCY4	JUNB
COL5A1	TMEM158
TMEM158	ERVK3-1
PXDC1	TMEM158
CYC1	FNDC10
ARPC4	EIF5AL1
TSPAN13	TMEM158
MMP2	TMEM158
NRARP	ESAM
NRARP	OVOL1
TMEM158	GALNT13
TMEM158	PSAT1
CEP76	JUNB
SH2D3A	JUNB
TNKS2	FNDC10
MTPAP	TIGD1
CDK5	FNDC10
UBXN4	FNDC10
TIGD1	RFC4
EPHX3	TMEM158
JPT1	TMEM158
TMEM158	PRR15
TMEM158	COL13A1
TIGD1	GPD1L
TIGD1	IL6ST
JUNB	ZNF250
CREBL2	TIGD1
ADRA2A	E2F8
EXT2	TMEM158
RGS16	JUNB
TENT5C	TMEM158
EIF5AL1	CREBBP
SHARPIN	FNDC10
DAPK3	JUNB
RGS16	TMEM158
ADRA2A	IL6ST
DBR1	JUNB
